style="	内嵌css
<!--...-->	定义注释
<!DOCTYPE>	定义文档类型。
<a>	定义锚。
<abbr>	定义缩写。
<acronym>	定义只取首字母的缩写。
<address>	定义文档作者或拥有者的联系信息。
<applet>	不赞成使用。定义嵌入的applet。
<area>	定义图像映射内部的区域。
<article>	定义文章。
<aside>	定义页面内容之外的内容。
<audio>	定义声音内容。
<b>	定义粗体字。
<base>	定义页面中所有链接的默认地址或默认目标。
<basefont>	不赞成使用。定义页面中文本的默认字体、颜色或尺寸。
<bdi>	定义文本的文本方向，使其脱离其周围文本的方向设置。
<bdo>	定义文字方向。
<big>	定义大号文本。
<blockquote>	定义长的引用。
<body>	定义文档的主体。
<br>	定义简单的折行。
<button>	定义按钮(pushbutton)。
<canvas>	定义图形。
<caption>	定义表格标题。
<center>	不赞成使用。定义居中文本。
<cite>	定义引用(citation)。
<code>	定义计算机代码文本。
<col>	定义表格中一个或多个列的属性值。
<colgroup>	定义表格中供格式化的列组。
<command>	定义命令按钮。
<datalist>	定义下拉列表。
<dd>	定义定义列表中项目的描述。
<del>	定义被删除文本。
<details>	定义元素的细节。
<dir>	不赞成使用。定义目录列表。
<div>	定义文档中的节。
<dfn>	定义定义项目。
<dialog>	定义对话框或窗口。
<dl>	定义定义列表。
<dt>	定义定义列表中的项目。
<em>	定义强调文本。
<embed>	定义外部交互内容或插件。
<fieldset>	定义围绕表单中元素的边框。
<figcaption>	定义figure元素的标题。
<figure>	定义媒介内容的分组，以及它们的标题。
<font>	不赞成使用。定义文字的字体、尺寸和颜色。
<footer>	定义section或page的页脚。
<form>	定义供用户输入的HTML表单。
<frame>	定义框架集的窗口或框架。
<frameset>	定义框架集。
<h1>	to <h6>    定义HTML标题。
<head>	定义关于文档的信息。
<header>	定义section或page的页眉。
<hr>	定义水平线。
<html>	定义HTML文档。
<i>	定义斜体字。
<iframe>	定义内联框架。
<img>	定义图像。
<input>	定义输入控件。
<ins>	定义被插入文本。
<isindex>	不赞成使用。定义与文档相关的可搜索索引。
<kbd>	定义键盘文本。
<keygen>	定义生成密钥。
<label>	定义input元素的标注。
<legend>	定义fieldset元素的标题。
<li>	定义列表的项目。
<link>	定义文档与外部资源的关系。
<map>	定义图像映射。
<mark>	定义有记号的文本。
<menu>	定义命令的列表或菜单。
<menuitem>	定义用户可以从弹出菜单调用的命令/菜单项目。
<meta>	定义关于HTML文档的元信息。
<meter>	定义预定义范围内的度量。
<nav>	定义导航链接。
<noframes>	定义针对不支持框架的用户的替代内容。
<noscript>	定义针对不支持客户端脚本的用户的替代内容。
<object>	定义内嵌对象。
<ol>	定义有序列表。
<optgroup>	定义选择列表中相关选项的组合。
<option>	定义选择列表中的选项。
<output>	定义输出的一些类型。
<p>	定义段落。
<param>	定义对象的参数。
<pre>	定义预格式文本。
<progress>	定义任何类型的任务的进度。
<q>	定义短的引用。
<rp>	定义若浏览器不支持ruby元素显示的内容。
<rt>	定义ruby注释的解释。
<ruby>	定义ruby注释。
<s>	不赞成使用。定义加删除线的文本。
<samp>	定义计算机代码样本。
<script>	定义客户端脚本。
<section>	定义 section。
<select>	定义选择列表（下拉列表）。
<small>	定义小号文本。
<source>	定义媒介源。
<span>	定义文档中的节。
<strike>	不赞成使用。定义加删除线文本。
<strong>	定义强调文本。
style=	定义文档的样式信息。
<sub>	定义下标文本。
<summary>	为 <details> 元素定义可见的标题。
<sup>	定义上标文本。
<table>	定义表格。
<tbody>	定义表格中的主体内容。
<td>	定义表格中的单元。
<textarea>	定义多行的文本输入控件。
<tfoot>	定义表格中的表注内容（脚注）。
<th>	定义表格中的表头单元格。
<thead>	定义表格中的表头内容。
<time>	定义日期/时间。
<title>	定义文档的标题。
<tr>	定义表格中的行。
<track>	定义用在媒体播放器中的文本轨道。
<tt>	定义打字机文本。
<u>	不赞成使用。定义下划线文本。
<ul>	定义无序列表。
<var>	定义文本的变量部分。
<video>	定义视频。
<wbr>	定义视频。
<xmp>	不赞成使用。定义预格式文本。
CSS3_动画属性（Animation）
@keyframes	规定动画。(CSS3_动画属性)
animation	所有动画属性的简写属性，除了animation-play-state属性。(CSS3_动画属性)
animation-name	规定@keyframes动画的名称。(CSS3_动画属性)
animation-duration	规定动画完成一个周期所花费的秒或毫秒。(CSS3_动画属性)
animation-timing-function	规定动画的速度曲线。(CSS3_动画属性)
animation-delay	规定动画何时开始。(CSS3_动画属性)
animation-iteration-count	规定动画被播放的次数。(CSS3_动画属性)
animation-direction	规定动画是否在下一周期逆向地播放。(CSS3_动画属性)
animation-play-state	规定动画是否正在运行或暂停。(CSS3_动画属性)
animation-fill-mode	规定对象动画时间之外的状态。(CSS3_动画属性)
CSS_背景属性（Background）
background	在一个声明中设置所有的背景属性。(CSS_背景属性)
background-attachment	设置背景图像是否固定或者随着页面的其余部分滚动。(CSS_背景属性)
background-color	设置元素的背景颜色。(CSS_背景属性)
background-image	设置元素的背景图像。(CSS_背景属性)
background-position	设置背景图像的开始位置。(CSS_背景属性)
background-repeat	设置是否及如何重复背景图像。(CSS_背景属性)
background-clip	规定背景的绘制区域。(CSS_背景属性)
background-origin	规定背景图片的定位区域。(CSS_背景属性)
background-size	规定背景图片的尺寸。(CSS_背景属性)
CSS_边框属性（Border和Outline）
border	在一个声明中设置所有的边框属性。(CSS_边框属性)
border-bottom	在一个声明中设置所有的下边框属性。(CSS_边框属性)
border-bottom-color	设置下边框的颜色。(CSS_边框属性)
border-bottom-style	设置下边框的样式。(CSS_边框属性)
border-bottom-width	设置下边框的宽度。(CSS_边框属性)
border-color	设置四条边框的颜色。(CSS_边框属性)
border-left	在一个声明中设置所有的左边框属性。(CSS_边框属性)
border-left-color	设置左边框的颜色。(CSS_边框属性)
border-left-style	设置左边框的样式。(CSS_边框属性)
border-left-width	设置左边框的宽度。(CSS_边框属性)
border-right	   在一个声明中设置所有的右边框属性。(CSS_边框属性)
border-right-color	设置右边框的颜色。(CSS_边框属性)
border-right-style	设置右边框的样式。(CSS_边框属性)
border-right-width	设置右边框的宽度。(CSS_边框属性)
border-style	设置四条边框的样式。(CSS_边框属性)
border-style:none	定义无边框。
border-style:hidden	与"none"相同不过应用于表时除外，对于表，hidden用于解决边框冲突。
border-style:dotted	定义点状边框。在大多数浏览器中呈现为实线。
border-style:dashed	定义虚线在大多数浏览器中呈现为实线。
border-style:solid	定义实线。
border-style:double	定义双线。双线的宽度等于border-width 的值。
border-style:groove	定义3D凹槽边框。其效果取决于border-color的值。
border-style:ridge	定义3D垄状边框。其效果取决于border-color的值。
border-style:inset	定义3Dinset 边框。其效果取决于border-color的值。
border-style:outset	定义3Doutset 边框。其效果取决于border-color的值。
border-style:inherit	规定应该从父元素继承边框样式。
border-top	在一个声明中设置所有的上边框属性。(CSS_边框属性)
border-top-color	设置上边框的颜色。(CSS_边框属性)
border-top-style	设置上边框的样式。(CSS_边框属性)
border-top-width	设置上边框的宽度。(CSS_边框属性)
border-width	设置四条边框的宽度。(CSS_边框属性)
outline	在一个声明中设置所有的轮廓属性。(CSS_边框属性)
outline-color	设置轮廓的颜色。(CSS_边框属性)
outline-style	设置轮廓的样式。(CSS_边框属性)
outline-width	设置轮廓的宽度。(CSS_边框属性)
border-bottom-left-radius	定义边框左下角的形状。(CSS_边框属性)
border-bottom-right-radius	定义边框右下角的形状。(CSS_边框属性)
border-image	简写属性，设置所有 border-image-*属性。(CSS_边框属性)
border-image-outset	规定边框图像区域超出边框的量。(CSS_边框属性)
border-image-repeat	图像边框是否应平铺(repeated)、铺满(rounded)或拉伸(stretched)。(CSS_边框属性)
border-image-slice	规定图像边框的向内偏移。(CSS_边框属性)
border-image-source	规定用作边框的图片。(CSS_边框属性)
border-image-width	规定图片边框的宽度。(CSS_边框属性)
border-radius	简写属性，设置所有四个 border-*-radius 属性。(CSS_边框属性)
border-top-left-radius	定义边框左上角的形状。(CSS_边框属性)
border-top-right-radius	定义边框右下角的形状。(CSS_边框属性)
box-decoration-brea	k(CSS_边框属性)
box-shadow	向方框添加一个或多个阴影。(CSS_边框属性)
CSS_Box属性
overflow-x	如果内容溢出了元素内容区域，是否对内容的左/右边缘进行裁剪。(CSS_Box属性)
overflow-y	如果内容溢出了元素内容区域，是否对内容的上/下边缘进行裁剪。(CSS_Box属性)
overflow-style	规定溢出元素的首选滚动方法。(CSS_Box属性)
rotation	围绕由rotation-point属性定义的点对元素进行旋转。(CSS_Box属性)
rotation-point	定义距离上左边框边缘的偏移点。(CSS_Box属性)
CSS_Color属性
color-profile	允许使用源的颜色配置文件的默认以外的规范。(CSS_Color属性)
opacity	规定书签的级别。(CSS_Color属性)
rendering-intent	允许使用颜色配置文件渲染意图的默认以外的规范。(CSS_Color属性)
Content	for Paged Media 属性(CSS_Color属性)
bookmark-label	规定书签的标记。(CSS_Color属性)
bookmark-level	规定书签的级别。(CSS_Color属性)
bookmark-target	规定书签链接的目标。(CSS_Color属性)
float-offset	将元素放在float属性通常放置的位置的相反方向。(CSS_Color属性)
hyphenate-after	规定连字单词中连字符之后的最小字符数。(CSS_Color属性)
hyphenate-before	规定连字单词中连字符之前的最小字符数。(CSS_Color属性)
hyphenate-character	规定当发生断字时显示的字符串。(CSS_Color属性)
hyphenate-lines	指示元素中连续断字连线的最大数。(CSS_Color属性)
hyphenate-resource	规定帮助浏览器确定断字点的外部资源（逗号分隔的列表）。(CSS_Color属性)
hyphens	设置如何对单词进行拆分，以改善段落的布局。(CSS_Color属性)
image-resolution	规定图像的正确分辨率。(CSS_Color属性)
marks	向文档添加裁切标记或十字标记。(CSS_Color属性)
string-se	t(CSS_Color属性)
CSS_尺寸属性（Dimension）
height	设置元素高度。
max-height	设置元素的最大高度。
max-width	设置元素的最大宽度。
min-height	设置元素的最小高度。
min-width	设置元素的最小宽度。
width	设置元素的宽度。
CSS_可伸缩框属性（Flexible	Box）
box-align	规定如何对齐框的子元素。
box-direction	规定框的子元素的显示方向。
box-flex	规定框的子元素是否可伸缩。
box-flex-group	将可伸缩元素分配到柔性分组。
box-lines	规定当超出父元素框的空间时，是否换行显示。
box-ordinal-group	规定框的子元素的显示次序。
box-orient	规定框的子元素是否应水平或垂直排列。
box-pack	规定水平框中的水平位置或者垂直框中的垂直位置。
CSS_字体属性（Font）
font	在一个声明中设置所有字体属性。
font-family	规定文本的字体系列。
font-size	规定文本的字体尺寸。
font-size-adjust	为元素规定 aspect 值。
font-stretch	收缩或拉伸当前的字体系列。
font-style	规定文本的字体样式。
font-variant	规定是否以小型大写字母的字体显示文本。
font-weight	规定字体的粗细。
CSS_内容生成（Generated	Content）
content	与:before以及:after伪元素配合使用，来插入生成内容。
counter-increment	递增或递减一个或多个计数器。
counter-reset	创建或重置一个或多个计数器。
quotes	设置嵌套引用的引号类型。
crop	允许被替换元素仅仅是对象的矩形区域，而不是整个对象。
move-to	从流中删除元素，然后在文档中后面的点上重新插入。
page-policy	确定元素基于页面的occurrence应用于计数器还是字符串值。
CSS_Grid属性
grid-columns	规定网格中每个列的宽度。
grid-rows	规定网格中每个列的高度。
CSS_Hyperlink属性
target	简写属性，设置target-name、target-new以及target-position属性。
target-name	规定在何处打开链接（链接的目标）。
target-new	规定目标链接在新窗口还是在已有窗口的新标签页中打开。
target-position	规定在何处放置新的目标链接。
CSS_列表属性（List）
list-style	在一个声明中设置所有的列表属性。
list-style-image	将图象设置为列表项标记。
list-style-position	设置列表项标记的放置位置。
list-style-type	设置列表项标记的类型。
marker-offse	t
CSS_外边距属性（Margin）
margin	在一个声明中设置所有外边距属性。
margin-bottom	设置元素的下外边距。
margin-left	设置元素的左外边距。
margin-right	设置元素的右外边距。
margin-top	设置元素的上外边距。
Marquee	属性
marquee-direction	设置移动内容的方向。
marquee-play-count	设置内容移动多少次。
marquee-speed	设置内容滚动得多快。
marquee-style	设置移动内容的样式。
CSS_多列属性（Multi-column）
column-count	规定元素应该被分隔的列数。
column-fill	规定如何填充列。
column-gap	规定列之间的间隔。
