vim#r1char()	得到一个 ASCII 值对应的字符
vim#char2nr()	得到一个字符的 ASCII 码值
vim#str2nr()	转换一个字符串为数字
vim#str2float()	转换一个字符串为浮点数
vim#printf()	根据%转换符格式化一个字串
vim#escape()	返回一个字符串以\转义符表达式的形式
vim#shellescape()	返回一个给 shell 命令使用的转义字符串
vim#fnameescape()	返回一个给 Vim 命令使用的转义后的文件名字符串
vim#tr()	将给定串的字符从一个字符集合转换到对应的另一个字符集合
vim#strtrans()	将一个字符串转换为可显示形式 a
vim#tolower()	将一个字符串转换为小写
vim#toupper()	将一个字符串转换为大写
vim#match()	返回一个搜索在一个字符串中出现的位置
vim#matchend()	同 match(),但从后往前搜索
vim#matchstr()	同 match,但返回匹配到的目标串
vim#matchlist()	同 matchstr,同时将匹配的子模式一并返回
vim#stridx()	一个子串初次出现在母串中的位置
vim#strridx()	一个子串最后一次出现在母串中的位置
vim#strlen()	求字符串长度
vim#substitute()	字符串替换
vim#submatch()	得到一次substitute操作中的匹配到的一个子模式b
vim#strpart()	得到一个字符串的子串
vim#expand()	扩展特殊的关键字
vim#iconv()	转变文字编码
vim#byteidx()	返回给定字符在字串中的字节索引
vim#repeat()	将给定定串重复多次
vim#eval()	求值一个字符串表达式
vim#get()	得到指定下标的列表项,下标越界也不报错
vim#len()	得到一个列表中列表项的个数
vim#empty()	检查一个列表是否为空
vim#insert()	向列表中新插入一项
vim#add()	向列表追加一项
vim#extend()	向列表追加另一列表
vim#remove()	从列表中移除一或多项
vim#copy()	浅复制一个列表
vim#deepcopy()	完全复制一个列表
vim#filter()	从列表中移除指定项
vim#map()	根据指定规则改变每个列表项的值
vim#sort()	将一个列表排序
vim#reverse()	将一个列表反序
vim#split()	将一个字串分割为一个列表
vim#join()	将一个列表中的各项粘合成一个字串
vim#range()	返回一个数字序列形成的列表
vim#string()	返回一个列表的字串表示形式
vim#call()	以一个列表中各项为参数调用一个函数
vim#index()	返回列表中某个列表项的索引
vim#max()	求各个列表项的最大值
vim#min()	求各个列表项的最小值
vim#count()	统计列表中某一列表项出现的次数
vim#repeat()	将列表重复多次
vim#get()	得到字典中指定健的条目的值,如果指定健不存在也不报告错误
vim#len()	得到字典条目的个数
vim#has_key()	检查字典中是否包含某个指定健值的条目
vim#empty()	检查字典是否为空
vim#remove()	从字典中移除某个指定健的条目
vim#extend()	向一个字典中加入另一个字典的条目
vim#filter()	根据指定条件移除字典中匹配的条目
vim#map()	按指定规则改变字典中的每个条目
vim#keys()	得到字典中各个健形成的列表
vim#values()	得到字典中各个值形成的列表
vim#items()	得到字典中以每个键-值对组成的列表的列表
vim#copy()	浅复制一个字典
vim#deepcopy()	完全复制一个字典
vim#string()	字典的字符串表示
vim#max()	求字典中的最大值
vim#min()	求字典中的最小值
vim#count()	统计一个值出现在次数
vim#float2nr()	浮点数转换为整数
vim#abs()	对浮点数求绝对值(同样适用于整数)
vim#round()	四舍五入a
vim#ceil()	向上舍入
vim#floor()	向下舍入
vim#trunc()	截除小数点后的部分
vim#log10()	以1为底的对数
vim#pow()	x 的y次方幂
vim#sqrt()	求平方根
vim#sin()	三角函数sine
vim#cos()	三角函数cosine
vim#atan()	三角函数
vim#type()	变量的类型,返回0为数字,1为字符串a
