cmp-eq	Equal Z==1
cmp-ne	not Equal Z=0=
cmp-hs	higher or same C==1
cmp-lo	lower C==0
cmp-pl	create or equalthan n==0
cmp-vs	overflow set V=1
cmp-vc	overflow clear V=0
cmp-hi	higher c==1 && z==0
cmp-ls	less !(c==0 && z==0)
cmp-ge	Signed greater than or eque N==V
cmp-lt	Signed less than N!=V
cmp-gt	Signed greater than Z==0 && N==V
cmp-le	Signed less than or equal !(Z==0 && N==V))
BLR	BLR Xm Branch and Link Register: unconditionally jumps to address in Xm, writing the address of the next 	sequential instruction to register X30.
BR	BR Xm Branch Register: jumps to address in Xm, with a hint to the CPU that this is not a subroutine return.
RET	RET {Xm} Return: jumps to register Xm, with a hint to the CPU that this is a subroutine return. An assembler shall 	default to register X30 if Xm is omitted.
LDR	LDR Wt, addr Load Register: loads a word from memory addressed by addr to Wt.
LDR	LDR Xt, addr Load Register (extended): loads a doubleword from memory addressed by addr to Xt.
LDRB	LDRB Wt, addr Load Byte: loads a byte from memory addressed by addr, then zero-extends it to Wt.
LDRSB	LDRSB Wt, addr Load Signed Byte: loads a byte from memory addressed by addr, then sign-extends it into Wt.
LDRSB	LDRSB Xt, addr Load Signed Byte (extended): loads a byte from memory addressed by addr, then sign-extends it into Xt.
LDRH	LDRH Wt, addr Load Halfword: loads a halfword from memory addressed by addr, then zero-extends it into Wt.
LDRSH	LDRSH Wt, addr Load Signed Halfword: loads a halfword from memory addressed by addr, then sign-extends it into Wt.
LDRSH	LDRSH Xt, addr Load Signed Halfword (extended): loads a halfword from memory addressed by addr, then sign-extends it into Xt.
LDRSW	LDRSW Xt, addr Load Signed Word (extended): loads a word from memory addressed by addr, then sign-extends it into Xt.
STR	STR Wt, addr Store Register: stores word from Wt to memory addressed by addr.
STR	STR Xt, addr Store Register (extended): stores doubleword from Xt to memory addressed by addr.
STRB	STRB Wt, addr Store Byte: stores byte from Wt to memory addressed by addr.
STRH	STRH Wt, addr Store Halfword: stores halfword from Wt to memory addressed by addr.
LDUR	LDUR Wt, [base,#simm9] Load (Unscaled) Register: loads a word from memory addressed by base+simm9 to Wt.
LDUR	LDUR Xt, [base,#simm9] Load (Unscaled) Register (extended): loads a doubleword from memory addressed by base+simm9 to Xt.
LDURB	LDURB Wt, [base,#simm9] Load (Unscaled) Byte: loads a byte from memory addressed by base+simm9, then zero-extends it into Wt.
LDURSB	LDURSB Wt, [base,#simm9] Load (Unscaled) Signed Byte: loads a byte from memory addressed by base+simm9, then sign-extends it into Wt.
LDURSB	LDURSB Xt, [base,#simm9] Load (Unscaled) Signed Byte (extended): loads a byte from memory addressed by base+simm9, then sign-extends it into Xt.
LDURH	LDURH Wt, [base,#simm9] Load  Load (Unscaled) Halfword: loads a halfword from memory addressed by base+simm9, then zero-extends it into Wt.
LDURSH	LDURSH Wt, [base,#simm9] Load  Load (Unscaled) Signed Halfword: loads a halfword from memory addressed by base+simm9, then sign- extends it into Wt. 
LDURSH	LDURSH Xt, [base,#simm9] Load  Load (Unscaled) Signed Halfword (extended): loads a halfword from memory addressed by base+simm9, then sign-extends it into Xt.
LDURSW	LDURSW Xt, [base,#simm9] Load (Unscaled) Signed Word (extended): loads a word from memory addressed by base+simm9, then sign-extends it into Xt.
STUR	STUR Wt, [base,#simm9] Store (Unscaled) Register: stores word from Wt to memory addressed by base+simm9.
STUR	STUR Xt, [base,#simm9] Store (Unscaled) Register (extended): stores doubleword from Xt to memory addressed by base+simm9.
STURB	STURB Wt, [base,#simm9] Store (Unscaled) Byte: stores byte from Wt to memory addressed by base+simm9.
STURH	STURH Wt, [base,#simm9] Store (Unscaled) Halfword: stores halfword from Wt to memory addressed by base+simm9.
LDR	LDR Wt, label | =value Load Literal Register (32-bit): loads a word from memory addressed by label to Wt.
LDR	LDR Xt, label | =value Load Literal Register (64-bit): loads a doubleword from memory addressed by label to Xt.
LDRSW	LDRSW Xt, label | =value Load Literal Signed Word (extended): loads a word from memory addressed by label, then sign-extends it into Xt.
LDR	LDR Wt, label | =value Load Literal Register (32-bit): loads a word from memory addressed by label to Wt.
LDR	LDR Xt, label | =value Load Literal Register (64-bit): loads a doubleword from memory addressed by label to Xt.
LDRSW	LDRSW Xt, label | =value Load Literal
LDP	LDP Wt1, Wt2, addr Load Pair Registers: loads two words from memory addressed by addr to Wt1 and Wt2.
LDP	LDP Xt1, Xt2, addr Load Pair Registers (extended): loads two doublewords from memory addressed by addr to Xt1 and Xt2.
LDPSW	LDPSW Xt1, Xt2, addr Load Pair Signed Words (extended) loads two words from memory addressed by addr, then sign-extends them into Xt1 and Xt2.
STP	STP Wt1, Wt2, addr Store Pair Registers: stores two words from Wt1 and Wt2 to memory addressed by addr.
STP	STP Xt1, Xt2, addr Store Pair Registers (extended): stores two doublewords from Xt1 and Xt2 to memory addressed by addr.
LDNP	LDNP Wt1, Wt2, [base,#imm] Load Non-temporal Pair: loads two words from memory addressed by base+imm to Wt1 and Wt2, with a non-temporal hint.
